Name,IATA,ICAO,Callsign,Country,Active
Transavia Holland,HV,TRA,TRANSAVIA,Netherlands,Y
TACV,VR,TCV,CABOVERDE,Portugal,Y
TransMeridian Airlines,T9,TRZ,TRANS-MERIDIAN,United States,N
Transmile Air Services,TH,TSE,TRANSMILE,Malaysia,N
Trast Aero,S5,TSJ,TRAST AERO,Kyrgyzstan,N
Transwest Air,9T,ABS,ATHABASKA,Canada,Y
Transaero Airlines,UN,TSO,TRANSOVIET,Russia,Y
Thai Star Airlines,T9,TSX,THAI STAR,Thailand,N
Turkmenistan Airlines,T5,TUA,TURKMENISTAN,Turkmenistan,Y
Tuninter,UG,TUI,,Tunisia,Y
Tavrey Airlines,T6,TVR,TAVREY,Ukraine,N
Travel Service,QS,TVS,SKYTRAVEL,Czech Republic,Y
Trans World Airlines,TW,TWA,TWA,United States,N
Transaviaexport,AL,TXC,TRANSEXPORT,Belarus,N
TUIfly Nordic,6B,BLX,BLUESCAN,Sweden,Y
TAAG Angola Airlines,DT,DTA,DTA,Angola,Y
Tassili Airlines,SF,DTH,TASSILI AIR,Algeria,N
TAM Mercosur,PZ,LAP,PARAGUAYA,Paraguay,Y
Trans States Airlines,AX,LOF,WATERSKI,United States,Y
Open Skies Consultative Commission,1L,OSY,OPEN SKIES,United States,N
Tarom,RO,ROT,TAROM,Romania,Y
Turan Air,3T,URN,TURAN,Azerbaijan,Y
TRIP Linhas A,8R,TIB,TRIP,Brazil,Y
USA3000 Airlines,U5,GWY,GETAWAY,United States,Y
United Airlines,UA,UAL,UNITED,United States,Y
USA Jet Airlines,U7,JUS,JET USA,United States,N
Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia,Y
UM Airlines,UF,UKM,UKRAINE MEDITERRANEE,Ukraine,Y
Ukrainian Cargo Airways,6Z,UKS,CARGOTRANS,Ukraine,N
United Parcel Service,5X,UPS,UPS,United States,N
US Airways,US,USA,U S AIR,United States,Y
UTair Aviation,UT,UTA,UTAIR,Russia,Y
Uzbekistan Airways,HY,UZB,UZBEK,Uzbekistan,Y
Ukraine International Airlines,PS,AUI,UKRAINE INTERNATIONAL,Ukraine,Y
V Australia Airlines,VA,VAU,KANGA,Australia,N
Valuair,VF,VLU,VALUAIR,Singapore,Y
Voyageur Airways,VC,VAL,VOYAGEUR,Canada,N
Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam,Y
VIM Airlines,NN,MOV,MOV AIR,Russia,Y
Volaris,Y4,VOI,VOLARIS,Mexico,Y
Volga-Dnepr Airlines,VI,VDA,VOLGA-DNEPR,Russia,Y
Virgin America,VX,VRD,REDWOOD,United States,Y
Virgin Express,TV,VEX,VIRGIN EXPRESS,Belgium,Y
Virgin Nigeria Airways,VK,VGN,VIRGIN NIGERIA,Nigeria,Y
Virgin Atlantic Airways,VS,VIR,VIRGIN,United Kingdom,Y
Viva Macau,ZG,VVM,JACKPOT,Macao,Y
Volare Airlines,VE,VLE,VOLA,Italy,Y
Vueling Airlines,VY,VLG,VUELING,Spain,Y
Vladivostok Air,XF,VLK,VLADAIR,Russia,Y
Varig Log,LC,VLO,VELOG,Brazil,Y
Viaggio Air,VM,VOA,VIAGGIO,Bulgaria,N
Virgin Australia,VA,VOZ,VIRGIN,Australia,Y
Virgin Blue,DJ,VBI,BLUEY,Australia,N
VRG Linhas Aereas,RG,VRN,VARIG,Brazil,Y
VASP,VP,VSP,VASP,Brazil,Y
VLM Airlines,VG,VLM,RUBENS,Belgium,Y
WebJet Linhas A,WJ,WEB,WEB-BRASIL,Brazil,Y
Welcome Air,2W,WLC,WELCOMEAIR,Austria,Y
West Air Sweden,PT,SWN,AIR SWEDEN,Sweden,N
WestJet,WS,WJA,WESTJET,Canada,Y
Western Airlines,WA,WAL,WESTERN,United States,Y
Westward Airways,CN,WWD,WESTWARD,United States,N
Widerøe,WF,WIF,WIDEROE,Norway,Y
Wind Jet,IV,JET,GHIBLI,Italy,Y
Wings Air,IW,WON,WINGS ABADI,Indonesia,Y
Wings of Alaska,K5,WAK,WINGS ALASKA,United States,N
Wizz Air,W6,WZZ,WIZZ AIR,Hungary,Y
Wizz Air Hungary,8Z,WVL,WIZZBUL,Bulgaria,Y
World Airways,WO,WOA,WORLD,United States,Y
Wright Air Service,8V,WRF,WRIGHT FLYER,United States,N
XL Airways France,SE,SEU,STARWAY,France,Y
Xiamen Airlines,MF,CXA,XIAMEN AIR,China,Y
Xtra Airways,XP,CXP,RUBY MOUNTAIN,United States,N
Yamal Airlines,YL,LLM,YAMAL,Russia,Y
Yangtze River Express,Y8,YZR,YANGTZE RIVER,China,N
Yemenia,IY,IYE,YEMENI,Yemen,Y
Zambian Airways,Q3,MBN,ZAMBIANA,Zambia,N
Zip,3J,WZP,ZIPPER,Canada,N
Zimex Aviation,C4,IMX,ZIMEX,Switzerland,N
Zoom Airlines,Z4,OOM,ZOOM,Canada,Y
Tyrolean Airways,\N,TYR,TYROLEAN,\N,Y
buzz,UK,BUZ,\N,\N,N
Maldivian Air Taxi,8Q,\N,\N,Maldives,Y
Sky Express,XW,SXR,SKYSTORM,Russia,Y
Yellow Air Taxi,Y0,\N,,United States,N
Royal Air Cambodge,VJ,RAC,,Cambodia,Y
Air Mandalay,6T,\N,Six Tango,Burma,Y
TAN-SAHSA,SH,\N,Sierra Hotel,Honduras,N
Air Busan,BX,ABL,Air Busan,Republic of Korea,Y
TUI Airlines Belgium,TB,TUB,BEAUTY,Belgium,N
Braathens,BU,BRA,Braathens,Norway,N
Globus,GH,GLP,,Russia,Y
Air Kazakhstan,9Y,KZK,Kazakh,Kazakhstan,Y
Japan Air System,JD,JAS,Air System,Japan,Y
Annsett New Zealand (NZA),ZQ,\N,,New Zealand,N
EasyJet (DS),DS,\N,,Switzerland,Y
Star Peru (2I),2I,\N,,Peru,Y
Carnival Air Lines,KW,\N,Carnival Air,United States,Y
United Airways,4H,UBD,UNITED BANGLADESH,Bangladesh,Y
Trans Maldivian Airways,M8,TMW,,Maldives,N
Fly540,5H,FFV,SWIFT TANGO,Kenya,Y
Transavia France,TO,TVF,FRENCH SUN,France,Y
Island Air (WP),WP,MKU,,United States,Y
1-2-go,OG,\N,,Thailand,N
Uni Air,B7,UIA,Glory,Taiwan,Y
Gomelavia,YD,\N,,Belarus,Y
Red Wings,WZ,RWZ,AIR RED,Russia,Y
TUIfly (X3),11,\N,,Germany,Y
Felix Airways,FU,FXX,,Yemen,Y
Kostromskie avialinii,K1,KOQ,,Russia,Y
Greenfly,XX,GFY,,Spain,Y
Tajik Air,7J,\N,,Tajikistan,Y
Air Mozambique,TM,\N,,Mozambique,Y
ELK Airways,--,ELK,,Estonia,Y
Gabon Airlines,GY,GBK,GABON AIRLINES,Gabon,Y
Maldivo Airlines,ML,MAV,Maldivo,Maldives,Y
Virgin Pacific,VH,VNP,,Fiji,Y
Zest Air,Z2,\N,,Philippines,Y
Yangon Airways,HK,\N,Hotel Kilo,Burma,Y
Transport Aérien Transrégional,IJ,\N,,France,N
Minerva Airlines,N4,\N,,Italy,N
Eastar Jet,ZE,ESR,Eastar,South Korea,Y
Jin Air,LJ,JNA,Jin Air,South Korea,Y
Aéris (Priv),SH,\N,,France,N
Air Arabia Maroc,3O,\N,Air Arabia,Morocco,Y
Baltic Air lines,B1,BA1,Baltic,Latvia,Y
Ciel Canadien,YC,YCC,Ciel,Canada,Y
Canadian National Airways,CN,YCP,CaNational,Canada,Y
Epic Holiday,FA,4AA,Epic,United States,Y
Air Comet Chile,3I,\N,,Chile,Y
Nazca,-.,\N,,Peru,N
Voronezhskie Airlanes,DN,\N,,Russia,N
Line Blue,L8,LBL,Bluebird,Germany,Y
Blue Sky America,BU,BKY,,United States,N
Texas Spirit,XS,TXP,,United States,N
Illinois Airways,IL,ILW,,United States,N
Salzburg arrows,SZ,\N,SZA,Austria,Y
Texas Wings,TQ,TXW,TXW,United States,Y
California Western,KT,CWS,,United States,N
Dennis Sky,DH,DSY,DSY,Israel,Y
Zz,ZZ,\N,,Belgium,Y
Atifly,A1,A1F,atifly,United States,Y
Air UK,UK,\N,,United Kingdom,N
Suckling Airways,CB,\N,,United Kingdom,N
Reno Sky,RY,\N,,United States,N
Ciao Air,99,\N,,Italy,Y
Birmingham European,VB,\N,,United Kingdom,N
Pal airlines,5P,\N,,Chile,Y
CanXpress,C1,CA1,CAX,Canada,Y
Danube Wings (V5),V5,\N,,Slovakia,Y
Sharp Airlines,SH,SHA,SHARP,Australia,Y
CanXplorer,C2,CAP,,Canada,Y
Click (Mexicana),QA,\N,,Mexico,Y
World Experience Airline,W1,WE1,WEA,Canada,Y
ALAK,J4,\N,,Russia,Y
AJT Air International,E9,\N,,Russia,N
Air Choice One,3E,\N,,United States,Y
China United,KN,\N,,China,Y
Locair,ZQ,LOC,LOCAIR,United States,Y
Safi Airlines,4Q,\N,,Afghanistan,Y
SeaPort Airlines,K5,SQH,SASQUATCH,United States,Y
Salmon Air,S6,\N,,United States,Y
Fly Illi,IL,ILY,,United States,N
Bobb Air Freight,1,\N,,Germany,Y
Star1 Airlines,V9,HCW,,Lithuania,Y
Pelita,6D,\N,,Indonesia,Y
Alpi Eagles (E8),E8,\N,,Italy,N
Alaska Seaplane Service,J5,\N,,United States,Y
TAN,T8,\N,,Argentina,N
MexicanaLink,I6,MXI,LINK,Mexico,Y
Island Spirit,IP,ISX,,Iceland,Y
TACA Peru,T0,\N,TACA PERU,Peru,Y
Pan Am World Airways Dominicana,7Q,\N,PAWA,Dominican Republic,Y
Primera Air,PF,\N,PRIMERA,Iceland,Y
Air Antilles Express,3S,\N,GREEN BIRD,Guadeloupe,Y
Regional Paraguaya,P7,REP,REGIOPAR,Paraguay,Y
VIP Ecuador,V6,\N,,Ecuador,Y
Peruvian Airlines,P9,\N,,Peru,Y
Polar Airlines,ЯП,\N,,Russia,Y
Catovair,OC,\N,CATOVAIR,Mauritius,Y
Halcyonair,7Z,\N,CREOLE,Cape Verde,Y
Business Aviation,4P,\N,AFRICAN BUSINESS,Congo (Kinshasa),Y
Compagnie Africaine d\\'Aviation,E9,\N,AFRICOMPANY,Congo (Kinshasa),Y
Zambia Skyways,K8,\N,ZAMBIA SKIES,Zambia,Y
AlMasria Universal Airlines,UJ,LMU,ALMASRIA,Egypt,Y
SmartLynx Airlines,6Y,\N,,Latvia,Y
KoralBlue Airlines,K7,KBR,KORAL BLUE,Egypt,Y
Elysian Airlines,E4,GIE,,Cameroon,Y
Hellenic Imperial Airways,HT,IMP,IMPERIAL,Greece,Y
Amsterdam Airlines,WD,AAN,AMSTEL,Netherlands,Y
Arik Niger,Q9,NAK,,Niger,Y
Dana Air,DA,\N,DANACO,Nigeria,Y
STP Airways,8F,STP,SAOTOME AIRWAYS,Sao Tome and Principe,Y
Med Airways,7Y,\N,FLYING CARPET,Lebanon,Y
Skyjet Airlines,UQ,SJU,SKYJET,Uganda,Y
Air Volga,G6,\N,GOUMRAK,Russia,Y
Royal Falcon,RL,RFJ,,Jordan,Y
Euroline,4L,MJX,GEO-LINE,Georgia,Y
Worldways,WG,WGC,,Canada,N
Athens Airways,ZF,\N,ATHENSAIR,Greece,Y
Viking Hellas,VQ,VKH,DELPHI,Greece,Y
Starline.kz,DZ,\N,ALUNK,Kazakhstan,Y
Euro Harmony,EH,EHM,,Portugal,N
Lugansk Airlines,L7,\N,ENTERPRISE LUHANSK,Ukraine,Y
Gryphon Airlines,6P,\N,,United States,Y
Gadair European Airlines,GP,GDR,GADAIR,Spain,Y
Spirit of Manila Airlines,SM,MNP,MANILA SKY,Philippines,Y
Chongqing Airlines,OQ,CQN,CHONG QING,China,Y
West Air China,PN,CHB,WEST CHINA,China,Y
Falcon Air (IH),IH,\N,,Sweden,N
QatXpress,C3,QAX,,Qatar,Y
OneChina,1C,1CH,,China,Y
NordStar Airlines,Y7,\N,,Russia,Y
Joy Air,JR,JOY,JOY AIR,China,Y
Air India Regional,CD,\N,ALLIED,India,Y
MDLR Airlines,9H,\N,MDLR,India,Y
Maldivian,Q2,\N,ISLAND AVIATION,Maldives,Y
Xpressair,XN,\N,,Indonesia,Y
Strategic Airlines,VC,\N,,Australia,Y
Fuji Dream Airlines,JH,\N,FUJI DREAM,Japan,Y
SGA Airlines,5E,\N,SIAM,Thailand,Y
Air2there,F8,\N,,New Zealand,Y
Avianova (Russia),AO,\N,Nova,Russia,Y
Parmiss Airlines (IPV),PA,IPV,IPV,Iran,Y
EuropeSky,ES,EUV,EuropeSky,Germany,Y
BRAZIL AIR,GB,BZE,BRAZIL AIR,Brazil,Y
Homer Air,MR,OME,,Germany,Y
Court Line,??,???,,United Kingdom,N
South West Africa Territory Force,??,***,,Namibia,N
Lombards Air,++,---,,South Africa,N
U.S. Air,-+,--+,,United States,Y
Flitestar,GM,===,,South Africa,N
Jayrow,\\',\\'\\,,Australia,Y
Llloyd Helicopters,::,:::,,Australia,N
Wilderness Air,;;,\N,,Australia,Y
Whitaker Air,^^,\N,,Australia,Y
PanAm World Airways,WQ,PQW,,United States,Y
Virginwings,YY,VWA,,Germany,Y
KSY,KY,KSY,KSY,Greece,Y
Buquebus Líneas Aéreas,BQ,BQB,,Uruguay,Y
SOCHI AIR,CQ,KOL,SLOW FROG,Russia,Y
Wizz Air Ukraine,WU,WAU,WIZZAIR UKRAINE,Ukraine,Y
88,47,VVN,,Cyprus,Y
LCM AIRLINES,LQ,LMM,,Russia,Y
Aero Brazil,BZ,BZL,,Brazil,N
Cambodia Angkor Air (K6),K6,\N,,Cambodia,Y
Skyline nepc,D5,\N,,India,N
THREE,H3,T33,,China,N
Royal European Airlines,69,\N,,United Kingdom,Y
Tom\\'s & co airliners,&T,T&O,T&,France,Y
Azul,AD,AZU,,Brazil,Y
LSM Airlines,PQ,LOO,slowbird,Russia,Y
LionXpress,C4,LIX,LIX,Cameroon,Y
Nik Airways,X1,\N,,Saudi Arabia,N
Genesis,GK,\N,,Pakistan,Y
Congo Express,XZ,\N,EXPRESSWAYS,Congo (Kinshasa),Y
Fly Dubai,FZ,FDB,,United Arab Emirates,Y
Domenican Airlines,D1,MDO,Domenican,Dominican Republic,Y
Air Atlantic,9A,\N,Atlantic,Canada,N
Air Ops,CR,\N,,Sweden,N
Aereonautica militare,JY,AXZ,,Italy,Y
LSM AIRLINES ,YZ,YZZ,Moscow frog ,Russia,Y
Aero Lloyd (YP),YP,AEF,,Germany,N
UTair-Express,UR,\N,,Russia,Y
Huaxia,G5,\N,,China,Y
Zabaykalskii Airlines,ZP,ZZZ,Lakeair,Russia,Y
Marysya Airlines,M4,1QA,MARSHAK AIR,Russia,Y
N1,N1,\N,,Peru,Y
Airlink (SAA),4Z,\N,,South Africa,Y
JobAir,3B,\N,,Czech Republic,Y
Zuliana de Aviacion,OD,ULA,,Venezuela,N
Black Stallion Airways,BZ,BSA,Stallion,United States,Y
German International Air Lines,GM,GER,,Germany,Y
TrasBrasil,TB,TBZ,,Brazil,Y
TransBrasil Airlines,TH,THS,,Brazil,Y
China SSS,9C,\N,,China,Y
Nihon.jet,NJ,\N,,Japan,N
Transportes Aéreos Nacionales de Selva,TJ,\N,Aereos Selva,Peru,N
Air Mekong,P8,MKG,Air Mekong,Vietnam,Y
Harbour Air (Priv),H3,\N,,Canada,Y
Air Hamburg (AHO),HH,AHO,Air Hamburg,Germany,Y
ZABAIKAL AIRLINES,Z6,ZTT,BAIKAL ,Russia,Y
TransHolding,TI,THI,,Brazil,Y
Yeti Airways,YT,\N,,Nepal,Y
Yellowstone Club Private Shuttle,Y1,\N,YCS,United States,Y
Caucasus Airlines,NS,\N,,Georgia,Y
Serbian Airlines,S1,SA1,,Serbia,Y
Windward Islands Airways,WM,\N,Winair,Netherlands Antilles,Y
TransHolding System,YO,TYS,,Brazil,Y
CCML Airlines,CB,CCC,,Colombia,Y
Air Charter International,SF,\N,,France,N
Fly Brasil,F1,FBL,FBL,Brazil,Y
CB Airways UK ( Interliging Flights ),1F,CIF,,United Kingdom,Y
Fly Colombia ( Interliging Flights ),3F,3FF,,Colombia,Y
Trans Pas Air,T6,TP6,,United States,Y
KMV,МИ,\N,Air Minvody,Russia,Y
Himalayan Airlines,HC,HYM,Himalayan,Nepal,Y
Indya Airline Group,G1,IG1,Indya1,India,Y
Sunwing,WG,\N,sunwing,Canada,Y
Japan Regio,ZX,ZXY,,Japan,Y
Norte Lineas Aereas,N0,\N,,Argentina,Y
Austral Brasil,W7,\N,,Brazil,Y
PEGASUS AIRLINES-,H9,\N,,Turkey,Y
AirLiberté,IJ,\N,,France,N
Camair-co,QC,\N,,Cameroon,Y
Aerocontinente (Priv),N6,\N,,Peru,N
Sky Regional,RS,SKV,Sky Regional,Canada,Y
TUR Avrupa Hava YollarÄ±,YI,\N,TurAvrupa,Turkey,N
LSM International ,II,UWW,moose,Russia,Y
Baikotovitchestrian Airlines ,BU,BUU,,American Samoa,Y
Luchsh Airlines ,L4,LJJ,russian sky,Russia,Y
Zimbabwean Airlines,Z7,\N,,Zimbabwe,N
Air Cargo Germany,6U,\N,Loadmaster,Germany,Y
Mongolian International Air Lines ,7M,ZTF,Mongol_AIr ,Mongolia,Y
Alaniya Airlines,2D,\N,,Russia,N
Tway Airlines,TW,TWB,TWAY AIR,South Korea,Y
Papillon Grand Canyon Helicopters,HI,\N,,United States,Y
Jusur airways,JX,JSR,,Egypt,Y
NEXT Brasil,XB,NXB,XB,Brazil,Y
AeroWorld ,W4,WER,sovet,Russia,Y
Cook Island Air,KH,\N,,Cook Islands,N
US Africa Airways,E8,\N,,United States,N
GNB Linhas Aereas,GN,\N,,Brazil,Y
Usa Sky Cargo,E1,ES2,USKY,United States,Y
Hankook Airline,HN,HNX,HNX,South Korea,Y
Red Jet America,RR,\N,,United States,N
REDjet,Z7,\N,,Barbados,Y
Hellenic Airways,1H,HEY,Hellenic,Greece,N
Red Jet Andes,PT,\N,,Peru,Y
Red Jet Canada,QY,\N,,Canada,Y
Red Jet Mexico,4X,\N,,Mexico,Y
Marusya Airways,Y8,MRS,snowball,Russia,Y
Era Alaska,7H,ERR,ERAH,United States,Y
AirRussia,R8,RRJ,russiancloud,Russia,Y
Hankook Air US,H1,HA1,,United States,Y
NEPC Airlines,D5,\N,,India,N
Canadian World,10,CNN,Canadian,Canada,N
I-Fly,H5,RSY,RUSSIAN SKY,Russia,Y
T.A.T,IJ,\N,,France,N
Alinord,DN,\N,,Italy,N
Pacific Express,VB,\N,,United States,N
VickJet,KT,VKJ,Vickjet,France,Y
BVI Airways,XV,\N,,British Virgin Islands,Y
Salsa d\\'Haiti,SO,SLC,SALSA,Haiti,Y
Zambezi Airlines (ZMA),ZJ,\N,,Zambia,Y
Polet Airlines (Priv),YQ,\N,,Russia,Y
TROPICAL LINHAS AEREAS,T1,TP3,,Brazil,N
12 North,12,N12,12N,India,Y
Mauritania Airlines International,L6,MAI,,Mauritania,Y
MAT Airways,6F,MKD,,Macedonia,Y
Asian Wings Airways,AW,AWM,Asian Star,Burma,Y
Air Arabia Egypt,E5,RBG,,Egypt,Y
Alitalia Cityliner,CT,\N,,Italy,Y
Orchid Airlines,OI,ORC,,Australia,Y
Asia Wings,Y5,AWA,,Kazakhstan,Y
Skywest Australia,XR,\N,,Australia,Y
Nile Air,NP,NIA,NILEBIRD,Egypt,Y
Senegal Airlines,DN,SGG,,Senegal,Y
Fly 6ix,6I,\N,,Sierra Leone,Y
Starbow Airlines,S9,\N,,Ghana,Y
Copenhagen Express,0X,CX0,Copex,Denmark,Y
BusinessAir,8B,BCC,,Thailand,Y
SENIC AIRLINES,YR,\N,,United States,Y
Sky Wing Pacific,C7,CR7,,South Korea,Y
Air Indus,PP,AI0,AIPL,Pakistan,Y
Samurai Airlines,7,770,Sam,Pakistan,N
AirOne Continental,0,0,Eastern,Slovakia,N
AirOne Polska,U1,1,AOC,Poland,N
Peach Aviation,MM,\N,Air Peach,Japan,Y
Aviabus,U1,ABI,,Russia,Y
Michael Airlines,DF,MJG,MJG,Puerto Rico,Y
Korongo Airlines,ZC,KGO,KORONGO,Congo (Kinshasa),Y
Indonesia Sky,I5,IDS,,Indonesia,Y
Pelangi ,9P,\N,,Malaysia,N
Aws express,B0,666,aws,United States,Y
Southjet,76,SJS,,United States,Y
Southjet connect,77,ZCS,,United States,Y
Air Cape,KP,\N,,South Africa,N
Southjet cargo,78,XAN,,United States,Y
Iberia Express,I2,IBS,,Spain,Y
Interjet (ABC Aerolineas),4O,\N,INTERJET,Mexico,Y
AirOnix,OG,\N,,Ukraine,Y
Nordic Global Airlines,NJ,NGB,Nordic Global,Finland,Y
Scoot,TZ,SCO,,Singapore,Y
Starling Airlines Spain,SX,STS,STARLING,Spain,N
Hi Fly (5K),5K,\N,,Portugal,Y
China Northwest Airlines (WH),WH,\N,,China,Y
Zenith International Airline,ZN,ZNA,ZENITH,Thailand,Y
Orbit Airlines Azerbaijan,O1,OAB,Orbitaz,Azerbaijan,Y
Air Alps Aviation (A6),A6,\N,ALPAV,Austria,Y
Patriot Airways,P4,\N,,United States,Y
Vision Airlines (V2),V2,RBY,RUBY,United States,Y
Chicago Express (C8),C8,\N,,United States,N
BQB Lineas Aereas,5Q,\N,,Uruguay,Y
Yellowtail,YE,YEL,,United States,Y
Royal Airways,KG,RAW,RAW,United States,Y
FlyHigh Airlines Ireland (FH),FH,FHI,FLYHIRELAND,Ireland,Y
Aero VIP (2D),2D,\N,,Portugal,Y
Yangon Airways Ltd.,YH,\N,,Burma,Y
T.J. Air,TJ,TJA,T.J. Air,United States,Y
SkyWork Airlines ,SX,\N,SKYFOX,Switzerland,Y
ValueJet,J7,VJA,CRITTER,United States,N
Maastricht Airlines,W2,\N,,Netherlands,Y
CheapFlyingInternational,WL,FQR,cheapflying,France,N
Aviaexpresscruise,E6,\N,,Russia,N
Euro Jet,24,\N,,Germany,Y
AirOne Atlantic,0,AO1,,Slovakia,N
HQ- Business Express,HQ,\N,BizEx,United States,N
Royal Southern Airlines.,R1,RS1,RSA,Colombia,N
SOCHI AIR CHATER,Q3,QER,russian doll,Russia,Y
Denim Air ,J7,\N,DNM,Norway,Y
WestAir,OE,\N,,United States,N
WestAir Airlines,OE,\N,,United States,N
WestAir Airlines ,OE,\N,,United States,N
North Pacific Airlines,NO,\N,,United States,N
Malindo Air,OD,MXD,Malindo,Malaysia,Y
Tramm Airlines,9F,TLM,9F,Netherlands Antilles,N
Lina Congo,GC,\N,,Congo (Brazzaville),N
Flightlink Tanzania,Z9,\N,,Tanzania,Y
IzAvia,I8,\N,,Russia,Y
3 Valleys Airlines,3V,VA3,3 Valleys,France,N
Maryland Air,M1,M1F,Maryland Flight,United States,Y
Insel Air (7I/INC) (Priv),7I,\N,,Netherlands Antilles,Y
VivaColombia,5Z,VVC,,Colombia,Y
Apache Air,ZM,IWA,APACHE,United States,Y
MHS Aviation GmbH,M2,\N,,Germany,Y
Jettor Airlines,NR,JTO,JETHAPPY,Hong Kong,Y
GoDutch,GD,GOD,,Netherlands,N
Thai Lion Air,SL,\N,,Thailand,Y
Deutsche Luftverkehrsgesellschaft,DW,DLT,,Germany,N
National Air Cargo,N8,NCR,,United States,Y
Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States,Y
Citilink Indonesia,QG,\N,SUPERGREEN,Indonesia,Y
Gulisano airways,GU,GU1,,Italy,N
Caribbean Wings,XP,ZYZ,caribbean Wings,Turks and Caicos Islands,N
Snowbird Airlines,S8,SBD,,Finland,Y
Kharkiv Airlines,KH,KHK,,Ukraine,Y
XAIR USA,XA,XAU,XAIR,United States,Y
Air Costa,LB,\N,,India,Y
Global Freightways,F5,GF5,Freight,United States,N
XPTO,XP,XPT,XPTO,Portugal,Y
Malawian Airlines,3W,\N,,Malawi,Y
Avilu,..,...,,Switzerland,Y
Air Serbia,JU,ASL,AIR SERBIA,Serbia,Y
Air Lituanica,LT,LTU,LITUANICA,Lithuania,Y
Rainbow Air (RAI),RN,RAB,Rainbow,United States,Y
Rainbow Air Canada,RY,RAY,Rainbow CAN,Canada,Y
Rainbow Air Polynesia,RX,RPO,Rainbow Air,United States,Y
Rainbow Air Euro,RU,RUE,Rainbow Air,United Kingdom,Y
Rainbow Air US,RM,RNY,Rainbow Air,United States,Y
Dobrolet,QD,DOB,DOBROLET,Russia,Y
Spike Airlines,S0,SAL,Spike Air,United States,Y
All Argentina,L1,AL1,,Argentina,Y
All America,A2,AL2,,United States,Y
All Asia,L9,AL3,,China,Y
All Africa,9A,99F,,South Africa,Y
Regionalia México,N4,J88,,Mexico,Y
All Europe,N9,N99,,United Kingdom,Y
All Spain,N7,N77,,Spain,Y
Regional Air Iceland,9N,N78,,Iceland,Y
British Air Ferries,??,??!,,United Kingdom,N
Voestar,8K,K88,,Brazil,Y
All Colombia,7O,7KK,,Colombia,Y
Regionalia Uruguay,2X,2K2,,Uruguay,Y
Regionalia Venezuela,9X,9XX,,Venezuela,Y
Regionalia Chile,9J,CR1,,Chile,Y
Vuela Cuba,6C,6CC,,Cuba,Y
All Australia,88,8K8,,Australia,Y
Fly Europa,ER,RWW,,Spain,Y
FlyPortugal,PO,FPT,FlyPortugal,Portugal,Y
Spring Airlines Japan,IJ,SJO,,Japan,Y
Dense Airways,KP,DWA,DENSE,United States,Y
Dense Connection,KZ,DC2,DC2,United States,Y
Vuola Italia,4S,VI4,,Italy,Y
Island Express Air,1X,\N,Abby Air,Canada,Y
All Argentina Express,Z0,Z9H,,Argentina,Y
Thai Smile Airways,WE,\N,THAI SMILE,Thailand,Y
International AirLink,I4,\N,,Jamaica,Y
Real Tonga,RT,\N,,Tonga,Y
All America AR,2R,M7A,,Argentina,Y
All America CL,1R,R1R,,Chile,Y
SOCHI AIR EXPRESS,Q4,SAE,ADLER EXPRESS,Russia,Y
All America BR,1Y,A9B,,Brazil,Y
FRA Air,X9,X9F,FA,Germany,N
Royal,QN,\N,Roy,Canada,N
GREAT LAKES (GX),GX,\N,,Canada,N
Volotea Costa Rica,9V,VC9,,Costa Rica,Y
Fly Romania,X5,OTJ,TENDER AIR,Romania,Y
Eagle Atlantic Airlines,E2,\N,,Ghana,Y
All America CO,0Y,7ZC,,Colombia,Y
All America MX,0M,0MM,,Mexico,Y
FOX Linhas Aereas,FX,FOX,,Brazil,Y
Wings of England,EX,"..,",,United Kingdom,N
Air Kenya (Priv),QP,\N,,Kenya,Y
Via Conectia Airlines,6V,CZV,,Uruguay,Y
City Airways,E8,GTA,CITY AIR,Thailand,Y
Norwegian Long Haul AS,DU,NLH,NORSTAR,Norway,Y
TransNusa Air,M8,TNU,TRANSNUSA,Indonesia,Y
Tomp Airlines,ZT,T9P,,Chile,Y
OneJet,J1,\N,,United States,Y
Global Airlines,0G,GA0,,Argentina,Y
International Flying Service,F4,\N,,Italy,N
Air Vistara,UK,VTI,,India,Y
TransRussiaAirlines,1E,RGG,,Russia,Y
Severstal Air Company,D2,\N,,Russia,Y
REXAIR VIRTUEL,RR,RXR,Rexair,France,Y
WestJet Encore,WR,WEN,Encore,Canada,Y
Air Pegasus,OP,PPL,,India,Y
International Europe,9I,INE,,Spain,Y
V Air,ZV,VAX,,Taiwan,Y
Naka Nihon Airlines Service,NV,ALS,,Japan,N
Islands Express,X9,\N,,United States,N
Atlantic Air Services,X7,\N,,United States,N
Boutique Air (Priv),4B,BTQ,,United States,Y
VOLOTEA Airways,V7,VOE,,Spain,Y
Aguilar Connect,3X,GUI,Moonexpress,Chile,N
ROYAL BRITAIN,7V,ROB,,United Kingdom,N
INAVIA Internacional,Z5,IIR,,Argentina,Y
Liberty Airways,LE,LTY,,United States,Y
Аэросервис,АЯ,\N,,Russia,Y
Bassaka airlines,5B,BSX,5B,Cambodia,Y
SkyBahamas Airlines,Q7,\N,TROPICAL SKY,Bahamas,Y
UVT Aero,UW,\N,,Russia,Y
